mysql> SELECT * FROM PLAYERS;
+-------+--------+--------+------------+--------------------------------+------------------+----------------------------+
| nflId | height | weight | birthDate  | collegeName                    | officialPosition | displayName                |
+-------+--------+--------+------------+--------------------------------+------------------+----------------------------+
| 25511 | 4-Jun  |    225 | 8/3/1977   | Michigan                       | QB               | Tom Brady                  |
| 28963 | 5-Jun  |    240 | 3/2/1982   | Miami, O.                      | QB               | Ben Roethlisberger         |
| 29550 | 4-Jun  |    328 | 1/22/1982  | Arkansas                       | T                | Jason Peters               |
| 29851 | 2-Jun  |    225 | 12/2/1983  | California                     | QB               | Aaron Rodgers              |
| 30078 | 2-Jun  |    228 | 11/24/1982 | Harvard                        | QB               | Ryan Fitzpatrick           |
| 30842 | 6-Jun  |    267 | 5/19/1984  | UCLA                           | TE               | Marcedes Lewis             |
| 30869 | 7-Jun  |    330 | 12/12/1981 | Louisiana State                | T                | Andrew Whitworth           |
| 33084 | 4-Jun  |    217 | 5/17/1985  | Boston College                 | QB               | Matt Ryan                  |
| 33107 | 4-Jun  |    315 | 8/30/1985  | Virginia Tech                  | T                | Duane Brown                |
| 33130 | 10-May |    175 | 12/1/1986  | California                     | WR               | DeSean Jackson             |
| 33131 | 8-Jun  |    300 | 9/1/1986   | Miami                          | DE               | Calais Campbell            |
| 33138 | 3-Jun  |    222 | 7/2/1985   | Michigan                       | QB               | Chad Henne                 |
| 33241 | 3-Jun  |    219 | 5/15/1986  | San Diego                      | QB               | Josh Johnson               |
| 33566 | 11-May |    185 | 11/2/1985  | Texas Tech                     | WR               | Danny Amendola             |
| 34452 | 3-Jun  |    220 | 2/7/1988   | Georgia                        | QB               | Matthew Stafford           |
| 34457 | 4-Jun  |    330 | 1/25/1987  | Alabama                        | T                | Andre Smith                |
| 34465 | Jun-00 |    204 | 12/20/1987 | Ohio State                     | SS               | Malcolm Jenkins            |
| 34472 | 4-Jun  |    311 | 11/19/1985 | California                     | C                | Alex Mack                  |
| 34540 | 5-Jun  |    254 | 4/7/1987   | South Carolina                 | TE               | Jared Cook                 |
| 34654 | 11-May |    195 | 8/13/1987  | Rutgers                        | FS               | Jason McCourty             |
| 34777 | 3-Jun  |    310 | 1/3/1986   | Troy                           | NT               | Steve McLendon             |
| 34843 | 2-Jun  |    215 | 10/13/1985 | Michigan State                 | QB               | Brian Hoyer                |
| 35441 | 4-Jun  |    313 | 1/6/1987   | Nebraska                       | DE               | Ndamukong Suh              |
| 35442 | 4-Jun  |    300 | 2/25/1988  | Oklahoma                       | DT               | Gerald McCoy               |
| 35443 | 5-Jun  |    320 | 7/19/1988  | Oklahoma                       | T                | Trent Williams             |
| 35446 | 11-May |    195 | 4/14/1989  | Florida                        | CB               | Joe Haden                  |
| 35449 | 3-Jun  |    304 | 5/12/1987  | California                     | DE               | Tyson Alualu               |
| 35452 | 2-Jun  |    265 | 4/3/1988   | Michigan                       | DE               | Brandon Graham             |
| 35454 | 5-Jun  |    275 | 1/1/1989   | South Florida                  | DE               | Jason Pierre-Paul          |
| 35459 | 10-May |    185 | 4/10/1988  | Alabama                        | SS               | Kareem Jackson             |
| 35462 | 5-Jun  |    314 | 3/21/1989  | Iowa                           | T                | Bryan Bulaga               |
| 35466 | 10-May |    195 | 8/13/1987  | Rutgers                        | FS               | Devin McCourty             |
| 35470 | 2-Jun  |    254 | 8/13/1988  | Texas Christian                | DE               | Jerry Hughes               |
| 35472 | 5-Jun  |    325 | 6/6/1988   | Indiana                        | G                | Rodger Saffold             |
| 35481 | 6-Jun  |    265 | 5/14/1989  | Arizona                        | TE               | Rob Gronkowski             |
| 35485 | 4-Jun  |    329 | 10/10/1988 | East Carolina                  | NT               | Linval Joseph              |
| 35493 | 6-Jun  |    285 | 2/28/1989  | Florida                        | OLB              | Carlos Dunlap              |
| 35521 | 11-May |    180 | 3/17/1987  | Southern Methodist             | WR               | Emmanuel Sanders           |
| 35522 | 3-Jun  |    335 | 6/8/1988   | Kentucky                       | DT               | Corey Peters               |
| 35527 | 11-May |    195 | 1/9/1988   | Citadel                        | WR               | Andre Roberts              |
| 35534 | 7-Jun  |    265 | 11/24/1986 | Miami                          | TE               | Jimmy Graham               |
| 35539 | 3-Jun  |    273 | 12/22/1987 | Southern California            | DE               | Everson Griffen            |
| 35562 | 4-Jun  |    330 | 3/25/1987  | Louisiana State                | DT               | Al Woods                   |
| 35634 | 10-May |    185 | 7/10/1988  | Central Michigan               | WR               | Antonio Brown              |
| 36712 | 1-Jun  |    210 | 9/9/1987   | Rice                           | FS               | Andrew Sendejo             |
| 36785 | 8-Jun  |    330 | 10/27/1985 | Texas State                    | T                | Ty Nsekhe                  |
| 37075 | 3-Jun  |    250 | 3/26/1989  | Texas A&amp;M                  | OLB              | Von Miller                 |
| 37077 | 4-Jun  |    210 | 7/31/1988  | Georgia                        | WR               | A.J. Green                 |
| 37078 | 1-Jun  |    203 | 7/11/1990  | Louisiana State                | CB               | Patrick Peterson           |
| 37079 | 3-Jun  |    220 | 2/8/1989   | Alabama                        | WR               | Julio Jones                |
| 37082 | 5-Jun  |    320 | 12/12/1990 | Southern California            | T                | Tyron Smith                |
| 37083 | 4-Jun  |    235 | 10/15/1989 | Missouri                       | QB               | Blaine Gabbert             |
