mysql> use axp2333;
No connection. Trying to reconnect...
Connection id:    83
Current database: *** NONE ***

Database changed
mysql> SELECT * FROM SCOUTING;
+------------+--------+-------+------------+---------------------+---------+-----------+----------+----------------------+----------------+------------------+-----------------+------------------------+---------------+--------------------+
| gameId     | playId | nflId | pff_role   | pff_positionLinedUp | pff_hit | pff_hurry | pff_sack | pff_beatenByDefender | pff_hitAllowed | pff_hurryAllowed | pff_sackAllowed | pff_nflIdBlockedPlayer | pff_blockType | pff_backFieldBlock |
+------------+--------+-------+------------+---------------------+---------+-----------+----------+----------------------+----------------+------------------+-----------------+------------------------+---------------+--------------------+
| 2021090900 |     97 | 25511 | Pass       | QB                  | NA      | NA        | NA       | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 35481 | Pass Route | TE-L                | NA      | NA        | NA       | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 35634 | Pass Route | LWR                 | NA      | NA        | NA       | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 39985 | Pass Route | HB-R                | NA      | NA        | NA       | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 40151 | Pass Block | C                   | NA      | NA        | NA       | 0                    | 0              | 0                | 0               | 44955                  | SW            | 0                  |
| 2021090900 |     97 | 41233 | Pass Route | RWR                 | NA      | NA        | NA       | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 41263 | Pass Rush  | LEO                 | 0       | 1         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 42377 | Pass Block | LT                  | NA      | NA        | NA       | 0                    | 0              | 1                | 0               | 42403                  | PP            | 0                  |
| 2021090900 |     97 | 42403 | Pass Rush  | ROLB                | 0       | 1         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 42404 | Pass Block | LG                  | NA      | NA        | NA       | 0                    | 0              | 0                | 0               | 44955                  | PP            | 0                  |
| 2021090900 |     97 | 43306 | Coverage   | ROLB                | 0       | 0         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 43478 | Coverage   | RCB                 | 0       | 0         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 44896 | Pass Route | SLWR                | NA      | NA        | NA       | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 44904 | Coverage   | SCBR                | 0       | 0         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 44955 | Pass Rush  | DRT                 | 0       | 0         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 44962 | Coverage   | FS                  | 0       | 0         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 46163 | Pass Block | RG                  | NA      | NA        | NA       | 0                    | 0              | 1                | 0               | 53441                  | SW            | 0                  |
| 2021090900 |     97 | 47996 | Coverage   | LILB                | 0       | 0         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 52421 | Pass Block | RT                  | NA      | NA        | NA       | 0                    | 0              | 1                | 0               | 53441                  | PP            | 0                  |
| 2021090900 |     97 | 52459 | Coverage   | LCB                 | 0       | 0         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 53441 | Pass Rush  | LILB                | 0       | 1         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |     97 | 53504 | Pass Rush  | RE                  | 0       | 1         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |    137 | 35441 | Pass Rush  | DRT                 | 0       | 0         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |    137 | 35454 | Pass Rush  | ROLB                | 0       | 0         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |    137 | 37082 | Pass Block | LT                  | NA      | NA        | NA       | 0                    | 0              | 0                | 0               | 35454                  | PT            | 0                  |
| 2021090900 |    137 | 38588 | Coverage   | RLB                 | 0       | 0         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |    137 | 40074 | Pass Rush  | LEO                 | 0       | 0         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |    137 | 41915 | Coverage   | SCBoL               | 0       | 0         | 0        | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |    137 | 42347 | Pass Route | SLWR                | NA      | NA        | NA       | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |    137 | 42654 | Pass Block | RT                  | NA      | NA        | NA       | 0                    | 0              | 0                | 0               | 40074                  | PP            | 0                  |
| 2021090900 |    137 | 43293 | Pass Route | RWR                 | NA      | NA        | NA       | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |    137 | 43424 | Pass       | QB                  | NA      | NA        | NA       | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
| 2021090900 |    137 | 45532 | Pass Route | SRoWR               | NA      | NA        | NA       | NA                   | NA             | NA               | NA              | NA                     | NA            | NA                 |
